,Item #,Serial #,Description,,Brand,Model,Quantity,Unit,Status A,Status R,Status O,Tags W,Tags W/O,Location,Date Acquired,,Remarks/Action Taken,,Photo (Google Drive Link),Checked by
,21,No Serial Number,Projector Wide Screen [Dyna],,DYNA,N/A,1,pc,√,,,√,,Hanging on wall Ceiling,N/A,,Still in good condition.,,,Mikhail Tudtud
,22,No Serial Number,Mouse Pad,,Microsoft,N/A,96,pcs,√,,,,√,,N/A,,Still in good condition.,,https://drive.google.com/file/d/1NaQZT0OtzR2thFIqtcTyh7M5MgU2joN2/view?usp=sharing,Mikhail Tudtud
,23,No Serial Number,Monobloc Chair,,Ruby,Monoblock,45,pcs,√,,,√,,On every computer table designated to individual units,6/1/2011,,Still in good condition.,,https://drive.google.com/file/d/1H7NkioKyEYQOgJ-t_Ixdh0BPSolo5vvf/view?usp=sharing,Mikhail Tudtud
,24,No Serial Number,Cork Board,,N/A,N/A,1,pc,√,,,,N/A,On wall beside White Board,1/25/2012,,Still in good condition.,,,Mikhail Tudtud
,25,No Serial Number,Toner [HP Laser Jet],,HP LaserJet,LaserJet ,2,pcs,√,,,,√,Stored in Office cabinet,10/23/2014,,Still in good condition.,,  ,Mikhail Tudtud
,26,No Serial Number,EPSON L20 SERIES Printer,,EPSON,L20 Series,1,pc,√,,,,√,,N/A,,,,,Mikhail Tudtud
,27,No Serial Number,EPSON LX-300,,EPSON,LX-300,3,pcs,√,,,,,Printer Table on Center Aisle,N/A,,,,,Mikhail Tudtud
,28,SMXK066392,EPSON L210,,EPSON,L210,1,pc,,,√,√,,Printer Table on Center Aisle,N/A,,Not working and needs to be replaced.,,https://drive.google.com/file/d/1wAD1CLimMPkTQ6FMZK0qkIVqUZIAVrIs/view?usp=sharing,Mikhail Tudtud
,29,No Serial Number,HP Design Jet T120,,HP Design Jet,DesignJet T120,1,pc,√,,,,√,Printer Table on Center Aisle,N/A,,,,https://drive.google.com/file/d/1yR6h8-ts3_eSkJKyBAJHLqqkRO-4Ejtu/view?usp=sharing,Mikhail Tudtud
,30,CNDXG6W5G2,HP LASER JET 700,,HP LaserJet,LaserJet 700 M712,1,pc,√,,,,√,Printer Table on Center Aisle,N/A,,,,https://drive.google.com/file/d/16X5dlZGoapoBnaoFaWfLtoLVVyVtjfh5/view?usp=sharing,Mikhail Tudtud
,31,No Serial Number,Daikin Inverter Aircon,,DAIKIN,INVERTER,1,pc,,,√,,√,,,,Old and Not conditioning.,,,Mikhail Tudtud
,32,No Serial Number,Air- Conditioning Standing Unit,,DAIKIN,STANDING UNIT,2,rolls,√,,,,√,On ceiling,11/23/2014,,Still in good condition.,,,Mikhail Tudtud
,33,No Serial Number,Network cable backup,,N/A,N/A,35,pcs,√,,,,,Box Container,N/A,,Not Used but No label if defective or not.,,,Mikhail Tudtud
,34,No Serial Number,Power chord,,N/A,N/A,12,pcs,√,,,,,Box Container,N/A,,Not Used but No label if defective or not.,,,Mikhail Tudtud
,35,No Serial Number,Lab Speakers,,N/A,N/A,2,pcs,√,,,,,Hanging on Wall,N/A,,Still in good condition.,,,Mikhail Tudtud
,36,No Serial Number,Crown Amplifier,,Crown,PA-150US,1,pc,√,,,,√,Amplifier Box,N/A,,Still in good condition. But Audio jack for mp3 not working.,,,Mikhail Tudtud
,37,No Serial Number,Acer LED monitor (Backup),,Acer,,1,pc,√,,,√,,Center Aisle,,,,,,Mikhail Tudtud
,38,No Serial Number,BOSCH,,BOSCH,,1,pc,√,,,√,,,,,Still in good condition.,,,Mikhail Tudtud
,39,No Serial Number,Sealed Box of CD Installers,,,,1,box,√,,,,√,Box Container,N/A,,sealed in box.,,,Mikhail Tudtud
,40,No Serial Number,APC Battery Connection Wires,,APC,,16,pcs,√,,,,√,Box Container,N/A,,Inside Box Container,,,Mikhail Tudtud
,41,No Serial Number,DVI Cables,,,DVI,36,pcs,√,,,,√,Box Container,N/A,,Inside Box Container,,,Mikhail Tudtud
,42,No Serial Number,Extension Wire,,N/A,N/A,2,pcs,√,,,,√,Box Container,N/A,,Still in good condition.,,,Mikhail Tudtud
,43,No Serial Number,LAN wires,,N/A,N/A,2,rolls,√,,,,√,Box Container,N/A,,Still in good condition but holder and case is damage due to pests.,,https://drive.google.com/file/d/1yR6h8-ts3_eSkJKyBAJHLqqkRO-4Ejtu/view?usp=sharing,Mikhail Tudtud
,44,No Serial Number,,,,,7,pcs,√,,,,√,,,,,,,Mikhail Tudtud
,45,No Serial Number,RGB,,N/A,N/A,4,pcs,√,,,,√,Box Container,N/A,,,,,Mikhail Tudtud
,46,No Serial Number,FTI Cables,,N/A,N/A,1,pc,√,,,,√,Box Container,N/A,,,,,Mikhail Tudtud
,47,No Serial Number,Scraper,,N/A,N/A,3,pcs,√,,,,√,Office Cabinet,N/A,,Still in good condition.,,,Mikhail Tudtud
,48,No Serial Number,Soldering Iron,,N/A,N/A,2,pcs,√,,,,√,Office Cabinet,N/A,,,,,Mikhail Tudtud
,49,No Serial Number,Brush,,N/A,N/A,3,pcs,√,,,,√,Office Cabinet,N/A,,Still in good condition.,,,Mikhail Tudtud
,50,No Serial Number,Screw Driver,,N/A,N/A,1,pc,√,,,,√,Office Cabinet,N/A,,,,,Mikhail Tudtud
,51,No Serial Number,Glue Gun,,N/A,N/A,1,pc,√,,,,√,Office Cabinet,N/A,,Still in good condition.,,,Mikhail Tudtud
,52,No Serial Number,Pliers,,N/A,N/A,2,pcs,√,,,,√,Office Cabinet,N/A,,Still in good condition.,,,Mikhail Tudtud
,53,No Serial Number,Multi Wire Cutter,,N/A,N/A,1,pc,√,,,,√,Office Cabinet,N/A,,,,,Mikhail Tudtud
,54,No Serial Number,Document Cam,,N/A,N/A,1,pc,,,√,,√,Cannot be found,N/A,,Cannot be found but included in the previous inventory,,,Mikhail Tudtud
,55,No Serial Number,Speaker Set,,N/A,N/A,1,pc,√,,,,√,Reads Office,,,Not fully functioning and not used.,,,Mikhail Tudtud
,56,No Serial Number,Lockset w/ keys,,N/A,N/A,25,pcs,√,,,,√,,N/A,,,,,Mikhail Tudtud
,57,No Serial Number,Wall Clock,,N/A,N/A,1,pc,√,,,,√,On the wall hanging,N/A,,Still in good condition.,,,Mikhail Tudtud
,58,No Serial Number,Postable Wooden Printer Holder,,N/A,N/A,1,pc,√,,,,√,,N/A,,,,,Mikhail Tudtud
,59,No Serial Number,Tornado Mop,,N/A,N/A,2,pcs,,,√,,√,Misplaced,N/A,,Misplaced before pandemic,, ,Mikhail Tudtud
,60,No Serial Number,Trash cans,,N/A,N/A,2,pcs,√,,,,√,Reads Office,N/A,,Still in good condition.,,https://drive.google.com/file/d/1vghoeUTDe3sLsMiA_lONaOl7ichxcZ-C/view?usp=sharing,Mikhail Tudtud
,61,No Serial Number,University Mission/Vision,,N/A,N/A,1,pc,√,,,,√,On the wall Hanging,N/A,,Still in good condition.,,,Mikhail Tudtud
,62,No Serial Number,Window Curtains,,N/A,N/A,3,pcs,√,,,,√,On the windows,N/A,,Needs to be washed.,,,Mikhail Tudtud
